Country,City,latitude,Longitude,Date,Type,UTCTime
Mozambique,Maputo,-25.966,32.567,2016-02-07,rise,2016-02-07 03:28:51
Mozambique,Maputo,-25.966,32.567,2016-02-07,set,2016-02-07 16:38:24
Mozambique,Maputo,-25.966,32.567,2016-02-08,rise,2016-02-08 03:29:34
Mozambique,Maputo,-25.966,32.567,2016-02-08,set,2016-02-08 16:37:46
Mozambique,Maputo,-25.966,32.567,2016-02-09,rise,2016-02-09 03:30:17
Mozambique,Maputo,-25.966,32.567,2016-02-09,set,2016-02-09 16:37:08
Mozambique,Maputo,-25.966,32.567,2016-02-10,rise,2016-02-10 03:31:00
Mozambique,Maputo,-25.966,32.567,2016-02-10,set,2016-02-10 16:36:29
Mozambique,Maputo,-25.966,32.567,2016-02-11,rise,2016-02-11 03:31:42
Mozambique,Maputo,-25.966,32.567,2016-02-11,set,2016-02-11 16:35:48
Mozambique,Maputo,-25.966,32.567,2016-02-12,rise,2016-02-12 03:32:24
Mozambique,Maputo,-25.966,32.567,2016-02-12,set,2016-02-12 16:35:06
Mozambique,Maputo,-25.966,32.567,2016-02-13,rise,2016-02-13 03:33:05
Mozambique,Maputo,-25.966,32.567,2016-02-13,set,2016-02-13 16:34:23
Mozambique,Maputo,-25.966,32.567,2016-02-14,rise,2016-02-14 03:33:46
Mozambique,Maputo,-25.966,32.567,2016-02-14,set,2016-02-14 16:33:39
Mozambique,Maputo,-25.966,32.567,2016-02-15,rise,2016-02-15 03:34:27
Mozambique,Maputo,-25.966,32.567,2016-02-15,set,2016-02-15 16:32:54
Mozambique,Maputo,-25.966,32.567,2016-02-16,rise,2016-02-16 03:35:07
Mozambique,Maputo,-25.966,32.567,2016-02-16,set,2016-02-16 16:32:08
Mozambique,Maputo,-25.966,32.567,2016-02-17,rise,2016-02-17 03:35:47
Mozambique,Maputo,-25.966,32.567,2016-02-17,set,2016-02-17 16:31:21
Mozambique,Maputo,-25.966,32.567,2016-02-18,rise,2016-02-18 03:36:26
Mozambique,Maputo,-25.966,32.567,2016-02-18,set,2016-02-18 16:30:33
Mozambique,Maputo,-25.966,32.567,2016-02-19,rise,2016-02-19 03:37:04
Mozambique,Maputo,-25.966,32.567,2016-02-19,set,2016-02-19 16:29:44
Mozambique,Maputo,-25.966,32.567,2016-02-20,rise,2016-02-20 03:37:43
Mozambique,Maputo,-25.966,32.567,2016-02-20,set,2016-02-20 16:28:54
Mozambique,Maputo,-25.966,32.567,2016-02-21,rise,2016-02-21 03:38:20
Mozambique,Maputo,-25.966,32.567,2016-02-21,set,2016-02-21 16:28:03
Mozambique,Maputo,-25.966,32.567,2016-02-22,rise,2016-02-22 03:38:58
Mozambique,Maputo,-25.966,32.567,2016-02-22,set,2016-02-22 16:27:11
Mozambique,Maputo,-25.966,32.567,2016-02-23,rise,2016-02-23 03:39:34
Mozambique,Maputo,-25.966,32.567,2016-02-23,set,2016-02-23 16:26:19
Mozambique,Maputo,-25.966,32.567,2016-02-24,rise,2016-02-24 03:40:11
Mozambique,Maputo,-25.966,32.567,2016-02-24,set,2016-02-24 16:25:26
Mozambique,Maputo,-25.966,32.567,2016-02-25,rise,2016-02-25 03:40:47
Mozambique,Maputo,-25.966,32.567,2016-02-25,set,2016-02-25 16:24:32
Mozambique,Maputo,-25.966,32.567,2016-02-26,rise,2016-02-26 03:41:22
Mozambique,Maputo,-25.966,32.567,2016-02-26,set,2016-02-26 16:23:37
Mozambique,Maputo,-25.966,32.567,2016-02-27,rise,2016-02-27 03:41:58
Mozambique,Maputo,-25.966,32.567,2016-02-27,set,2016-02-27 16:22:42
Mozambique,Maputo,-25.966,32.567,2016-02-28,rise,2016-02-28 03:42:32
Mozambique,Maputo,-25.966,32.567,2016-02-28,set,2016-02-28 16:21:45
Mozambique,Maputo,-25.966,32.567,2016-02-29,rise,2016-02-29 03:43:07
Mozambique,Maputo,-25.966,32.567,2016-02-29,set,2016-02-29 16:20:49
Mozambique,Maputo,-25.966,32.567,2016-03-01,rise,2016-03-01 03:43:41
Mozambique,Maputo,-25.966,32.567,2016-03-01,set,2016-03-01 16:19:51
Mozambique,Maputo,-25.966,32.567,2016-03-02,rise,2016-03-02 03:44:15
Mozambique,Maputo,-25.966,32.567,2016-03-02,set,2016-03-02 16:18:53
Mozambique,Maputo,-25.966,32.567,2016-03-01,rise,2016-03-01 03:43:41
Mozambique,Maputo,-25.966,32.567,2016-03-01,set,2016-03-01 16:19:51
Mozambique,Maputo,-25.966,32.567,2016-03-02,rise,2016-03-02 03:44:15
Mozambique,Maputo,-25.966,32.567,2016-03-02,set,2016-03-02 16:18:53
Mozambique,Maputo,-25.966,32.567,2016-03-03,rise,2016-03-03 03:44:48
Mozambique,Maputo,-25.966,32.567,2016-03-03,set,2016-03-03 16:17:55
Mozambique,Maputo,-25.966,32.567,2016-03-04,rise,2016-03-04 03:45:21
Mozambique,Maputo,-25.966,32.567,2016-03-04,set,2016-03-04 16:16:56
Mozambique,Maputo,-25.966,32.567,2016-03-05,rise,2016-03-05 03:45:53
Mozambique,Maputo,-25.966,32.567,2016-03-05,set,2016-03-05 16:15:56
Mozambique,Maputo,-25.966,32.567,2016-03-06,rise,2016-03-06 03:46:26
Mozambique,Maputo,-25.966,32.567,2016-03-06,set,2016-03-06 16:14:56
Mozambique,Maputo,-25.966,32.567,2016-03-07,rise,2016-03-07 03:46:58
Mozambique,Maputo,-25.966,32.567,2016-03-07,set,2016-03-07 16:13:56
Mozambique,Maputo,-25.966,32.567,2016-03-08,rise,2016-03-08 03:47:29
Mozambique,Maputo,-25.966,32.567,2016-03-08,set,2016-03-08 16:12:55
Mozambique,Maputo,-25.966,32.567,2016-03-09,rise,2016-03-09 03:48:01
Mozambique,Maputo,-25.966,32.567,2016-03-09,set,2016-03-09 16:11:54
Mozambique,Maputo,-25.966,32.567,2016-03-10,rise,2016-03-10 03:48:32
Mozambique,Maputo,-25.966,32.567,2016-03-10,set,2016-03-10 16:10:52
Mozambique,Maputo,-25.966,32.567,2016-03-11,rise,2016-03-11 03:49:02
Mozambique,Maputo,-25.966,32.567,2016-03-11,set,2016-03-11 16:09:50
Mozambique,Maputo,-25.966,32.567,2016-03-12,rise,2016-03-12 03:49:33
Mozambique,Maputo,-25.966,32.567,2016-03-12,set,2016-03-12 16:08:48
Mozambique,Maputo,-25.966,32.567,2016-03-13,rise,2016-03-13 03:50:03
Mozambique,Maputo,-25.966,32.567,2016-03-13,set,2016-03-13 16:07:45
Mozambique,Maputo,-25.966,32.567,2016-03-14,rise,2016-03-14 03:50:33
Mozambique,Maputo,-25.966,32.567,2016-03-14,set,2016-03-14 16:06:42
Mozambique,Maputo,-25.966,32.567,2016-03-15,rise,2016-03-15 03:51:02
Mozambique,Maputo,-25.966,32.567,2016-03-15,set,2016-03-15 16:05:39
Mozambique,Maputo,-25.966,32.567,2016-03-16,rise,2016-03-16 03:51:32
Mozambique,Maputo,-25.966,32.567,2016-03-16,set,2016-03-16 16:04:36
Mozambique,Maputo,-25.966,32.567,2016-03-17,rise,2016-03-17 03:52:01
Mozambique,Maputo,-25.966,32.567,2016-03-17,set,2016-03-17 16:03:32
Mozambique,Maputo,-25.966,32.567,2016-03-18,rise,2016-03-18 03:52:30
Mozambique,Maputo,-25.966,32.567,2016-03-18,set,2016-03-18 16:02:29
Mozambique,Maputo,-25.966,32.567,2016-03-19,rise,2016-03-19 03:52:58
Mozambique,Maputo,-25.966,32.567,2016-03-19,set,2016-03-19 16:01:25
Mozambique,Maputo,-25.966,32.567,2016-03-20,rise,2016-03-20 03:53:27
Mozambique,Maputo,-25.966,32.567,2016-03-20,set,2016-03-20 16:00:21
Mozambique,Maputo,-25.966,32.567,2016-03-21,rise,2016-03-21 03:53:55
Mozambique,Maputo,-25.966,32.567,2016-03-21,set,2016-03-21 15:59:17
Mozambique,Maputo,-25.966,32.567,2016-03-22,rise,2016-03-22 03:54:23
Mozambique,Maputo,-25.966,32.567,2016-03-22,set,2016-03-22 15:58:13
Mozambique,Maputo,-25.966,32.567,2016-03-23,rise,2016-03-23 03:54:51
Mozambique,Maputo,-25.966,32.567,2016-03-23,set,2016-03-23 15:57:08
Mozambique,Maputo,-25.966,32.567,2016-03-24,rise,2016-03-24 03:55:19
Mozambique,Maputo,-25.966,32.567,2016-03-24,set,2016-03-24 15:56:04
Mozambique,Maputo,-25.966,32.567,2016-03-25,rise,2016-03-25 03:55:47
Mozambique,Maputo,-25.966,32.567,2016-03-25,set,2016-03-25 15:55:00
Mozambique,Maputo,-25.966,32.567,2016-03-26,rise,2016-03-26 03:56:15
Mozambique,Maputo,-25.966,32.567,2016-03-26,set,2016-03-26 15:53:56
Mozambique,Maputo,-25.966,32.567,2016-03-27,rise,2016-03-27 03:56:42
Mozambique,Maputo,-25.966,32.567,2016-03-27,set,2016-03-27 15:52:52
Mozambique,Maputo,-25.966,32.567,2016-03-28,rise,2016-03-28 03:57:10
Mozambique,Maputo,-25.966,32.567,2016-03-28,set,2016-03-28 15:51:49
Mozambique,Maputo,-25.966,32.567,2016-03-29,rise,2016-03-29 03:57:37
Mozambique,Maputo,-25.966,32.567,2016-03-29,set,2016-03-29 15:50:45
Mozambique,Maputo,-25.966,32.567,2016-03-30,rise,2016-03-30 03:58:05
Mozambique,Maputo,-25.966,32.567,2016-03-30,set,2016-03-30 15:49:42
Mozambique,Maputo,-25.966,32.567,2016-03-31,rise,2016-03-31 03:58:32
Mozambique,Maputo,-25.966,32.567,2016-03-31,set,2016-03-31 15:48:38
Mozambique,Maputo,-25.966,32.567,2016-04-01,rise,2016-04-01 03:59:00
Mozambique,Maputo,-25.966,32.567,2016-04-01,set,2016-04-01 15:47:35
Mozambique,Maputo,-25.966,32.567,2016-04-02,rise,2016-04-02 03:59:27
Mozambique,Maputo,-25.966,32.567,2016-04-02,set,2016-04-02 15:46:33
Mozambique,Maputo,-25.966,32.567,2016-04-03,rise,2016-04-03 03:59:55
Mozambique,Maputo,-25.966,32.567,2016-04-03,set,2016-04-03 15:45:30
Mozambique,Maputo,-25.966,32.567,2016-04-04,rise,2016-04-04 04:00:22
Mozambique,Maputo,-25.966,32.567,2016-04-04,set,2016-04-04 15:44:28
Mozambique,Maputo,-25.966,32.567,2016-04-05,rise,2016-04-05 04:00:50
Mozambique,Maputo,-25.966,32.567,2016-04-05,set,2016-04-05 15:43:26
Mozambique,Maputo,-25.966,32.567,2016-04-06,rise,2016-04-06 04:01:18
Mozambique,Maputo,-25.966,32.567,2016-04-06,set,2016-04-06 15:42:25
Mozambique,Maputo,-25.966,32.567,2016-04-07,rise,2016-04-07 04:01:45
Mozambique,Maputo,-25.966,32.567,2016-04-07,set,2016-04-07 15:41:24
Mozambique,Maputo,-25.966,32.567,2016-04-08,rise,2016-04-08 04:02:13
Mozambique,Maputo,-25.966,32.567,2016-04-08,set,2016-04-08 15:40:23
Mozambique,Maputo,-25.966,32.567,2016-04-09,rise,2016-04-09 04:02:41
Mozambique,Maputo,-25.966,32.567,2016-04-09,set,2016-04-09 15:39:23
Mozambique,Maputo,-25.966,32.567,2016-04-10,rise,2016-04-10 04:03:09
Mozambique,Maputo,-25.966,32.567,2016-04-10,set,2016-04-10 15:38:23
Mozambique,Maputo,-25.966,32.567,2016-04-11,rise,2016-04-11 04:03:37
Mozambique,Maputo,-25.966,32.567,2016-04-11,set,2016-04-11 15:37:24
Mozambique,Maputo,-25.966,32.567,2016-04-12,rise,2016-04-12 04:04:05
Mozambique,Maputo,-25.966,32.567,2016-04-12,set,2016-04-12 15:36:25
Mozambique,Maputo,-25.966,32.567,2016-04-13,rise,2016-04-13 04:04:33
Mozambique,Maputo,-25.966,32.567,2016-04-13,set,2016-04-13 15:35:27
Mozambique,Maputo,-25.966,32.567,2016-04-14,rise,2016-04-14 04:05:01
Mozambique,Maputo,-25.966,32.567,2016-04-14,set,2016-04-14 15:34:29
Mozambique,Maputo,-25.966,32.567,2016-04-15,rise,2016-04-15 04:05:30
Mozambique,Maputo,-25.966,32.567,2016-04-15,set,2016-04-15 15:33:32
Mozambique,Maputo,-25.966,32.567,2016-04-16,rise,2016-04-16 04:05:58
Mozambique,Maputo,-25.966,32.567,2016-04-16,set,2016-04-16 15:32:35
Mozambique,Maputo,-25.966,32.567,2016-04-17,rise,2016-04-17 04:06:27
Mozambique,Maputo,-25.966,32.567,2016-04-17,set,2016-04-17 15:31:39
Mozambique,Maputo,-25.966,32.567,2016-04-18,rise,2016-04-18 04:06:55
Mozambique,Maputo,-25.966,32.567,2016-04-18,set,2016-04-18 15:30:44
Mozambique,Maputo,-25.966,32.567,2016-04-19,rise,2016-04-19 04:07:24
Mozambique,Maputo,-25.966,32.567,2016-04-19,set,2016-04-19 15:29:49
Mozambique,Maputo,-25.966,32.567,2016-04-20,rise,2016-04-20 04:07:53
Mozambique,Maputo,-25.966,32.567,2016-04-20,set,2016-04-20 15:28:55
Mozambique,Maputo,-25.966,32.567,2016-04-21,rise,2016-04-21 04:08:22
Mozambique,Maputo,-25.966,32.567,2016-04-21,set,2016-04-21 15:28:02
Mozambique,Maputo,-25.966,32.567,2016-04-22,rise,2016-04-22 04:08:51
Mozambique,Maputo,-25.966,32.567,2016-04-22,set,2016-04-22 15:27:09
Mozambique,Maputo,-25.966,32.567,2016-04-23,rise,2016-04-23 04:09:21
Mozambique,Maputo,-25.966,32.567,2016-04-23,set,2016-04-23 15:26:18
Mozambique,Maputo,-25.966,32.567,2016-04-24,rise,2016-04-24 04:09:50
Mozambique,Maputo,-25.966,32.567,2016-04-24,set,2016-04-24 15:25:27
Mozambique,Maputo,-25.966,32.567,2016-04-25,rise,2016-04-25 04:10:20
Mozambique,Maputo,-25.966,32.567,2016-04-25,set,2016-04-25 15:24:36
Mozambique,Maputo,-25.966,32.567,2016-04-26,rise,2016-04-26 04:10:49
Mozambique,Maputo,-25.966,32.567,2016-04-26,set,2016-04-26 15:23:47
Mozambique,Maputo,-25.966,32.567,2016-04-27,rise,2016-04-27 04:11:19
Mozambique,Maputo,-25.966,32.567,2016-04-27,set,2016-04-27 15:22:59
Mozambique,Maputo,-25.966,32.567,2016-04-28,rise,2016-04-28 04:11:50
Mozambique,Maputo,-25.966,32.567,2016-04-28,set,2016-04-28 15:22:11
Mozambique,Maputo,-25.966,32.567,2016-04-29,rise,2016-04-29 04:12:20
Mozambique,Maputo,-25.966,32.567,2016-04-29,set,2016-04-29 15:21:24
Mozambique,Maputo,-25.966,32.567,2016-04-30,rise,2016-04-30 04:12:50
Mozambique,Maputo,-25.966,32.567,2016-04-30,set,2016-04-30 15:20:39
Mozambique,Maputo,-25.966,32.567,2016-05-01,rise,2016-05-01 04:13:21
Mozambique,Maputo,-25.966,32.567,2016-05-01,set,2016-05-01 15:19:54
Mozambique,Maputo,-25.966,32.567,2016-05-01,rise,2016-05-01 04:13:21
Mozambique,Maputo,-25.966,32.567,2016-05-01,set,2016-05-01 15:19:54
Mozambique,Maputo,-25.966,32.567,2016-05-02,rise,2016-05-02 04:13:52
Mozambique,Maputo,-25.966,32.567,2016-05-02,set,2016-05-02 15:19:10
Mozambique,Maputo,-25.966,32.567,2016-05-03,rise,2016-05-03 04:14:23
Mozambique,Maputo,-25.966,32.567,2016-05-03,set,2016-05-03 15:18:27
Mozambique,Maputo,-25.966,32.567,2016-05-04,rise,2016-05-04 04:14:54
Mozambique,Maputo,-25.966,32.567,2016-05-04,set,2016-05-04 15:17:46
Mozambique,Maputo,-25.966,32.567,2016-05-05,rise,2016-05-05 04:15:25
Mozambique,Maputo,-25.966,32.567,2016-05-05,set,2016-05-05 15:17:05
Mozambique,Maputo,-25.966,32.567,2016-05-06,rise,2016-05-06 04:15:56
Mozambique,Maputo,-25.966,32.567,2016-05-06,set,2016-05-06 15:16:25
Mozambique,Maputo,-25.966,32.567,2016-05-07,rise,2016-05-07 04:16:27
Mozambique,Maputo,-25.966,32.567,2016-05-07,set,2016-05-07 15:15:47
Mozambique,Maputo,-25.966,32.567,2016-05-08,rise,2016-05-08 04:16:59
Mozambique,Maputo,-25.966,32.567,2016-05-08,set,2016-05-08 15:15:09
Mozambique,Maputo,-25.966,32.567,2016-05-09,rise,2016-05-09 04:17:30
Mozambique,Maputo,-25.966,32.567,2016-05-09,set,2016-05-09 15:14:32
Mozambique,Maputo,-25.966,32.567,2016-05-10,rise,2016-05-10 04:18:02
Mozambique,Maputo,-25.966,32.567,2016-05-10,set,2016-05-10 15:13:57
Mozambique,Maputo,-25.966,32.567,2016-05-11,rise,2016-05-11 04:18:33
Mozambique,Maputo,-25.966,32.567,2016-05-11,set,2016-05-11 15:13:23
Mozambique,Maputo,-25.966,32.567,2016-05-12,rise,2016-05-12 04:19:05
Mozambique,Maputo,-25.966,32.567,2016-05-12,set,2016-05-12 15:12:49
Mozambique,Maputo,-25.966,32.567,2016-05-13,rise,2016-05-13 04:19:36
Mozambique,Maputo,-25.966,32.567,2016-05-13,set,2016-05-13 15:12:17
Mozambique,Maputo,-25.966,32.567,2016-05-14,rise,2016-05-14 04:20:08
Mozambique,Maputo,-25.966,32.567,2016-05-14,set,2016-05-14 15:11:46
Mozambique,Maputo,-25.966,32.567,2016-05-15,rise,2016-05-15 04:20:39
Mozambique,Maputo,-25.966,32.567,2016-05-15,set,2016-05-15 15:11:17
Mozambique,Maputo,-25.966,32.567,2016-05-16,rise,2016-05-16 04:21:11
Mozambique,Maputo,-25.966,32.567,2016-05-16,set,2016-05-16 15:10:48
Mozambique,Maputo,-25.966,32.567,2016-05-17,rise,2016-05-17 04:21:42
Mozambique,Maputo,-25.966,32.567,2016-05-17,set,2016-05-17 15:10:20
Mozambique,Maputo,-25.966,32.567,2016-05-18,rise,2016-05-18 04:22:13
Mozambique,Maputo,-25.966,32.567,2016-05-18,set,2016-05-18 15:09:54
Mozambique,Maputo,-25.966,32.567,2016-05-19,rise,2016-05-19 04:22:44
Mozambique,Maputo,-25.966,32.567,2016-05-19,set,2016-05-19 15:09:29
Mozambique,Maputo,-25.966,32.567,2016-05-20,rise,2016-05-20 04:23:15
Mozambique,Maputo,-25.966,32.567,2016-05-20,set,2016-05-20 15:09:05
Mozambique,Maputo,-25.966,32.567,2016-05-21,rise,2016-05-21 04:23:46
Mozambique,Maputo,-25.966,32.567,2016-05-21,set,2016-05-21 15:08:42
Mozambique,Maputo,-25.966,32.567,2016-05-22,rise,2016-05-22 04:24:17
Mozambique,Maputo,-25.966,32.567,2016-05-22,set,2016-05-22 15:08:21
Mozambique,Maputo,-25.966,32.567,2016-05-23,rise,2016-05-23 04:24:47
Mozambique,Maputo,-25.966,32.567,2016-05-23,set,2016-05-23 15:08:01
Mozambique,Maputo,-25.966,32.567,2016-05-24,rise,2016-05-24 04:25:17
Mozambique,Maputo,-25.966,32.567,2016-05-24,set,2016-05-24 15:07:42
Mozambique,Maputo,-25.966,32.567,2016-05-25,rise,2016-05-25 04:25:47
Mozambique,Maputo,-25.966,32.567,2016-05-25,set,2016-05-25 15:07:24
Mozambique,Maputo,-25.966,32.567,2016-05-26,rise,2016-05-26 04:26:17
Mozambique,Maputo,-25.966,32.567,2016-05-26,set,2016-05-26 15:07:07
Mozambique,Maputo,-25.966,32.567,2016-05-27,rise,2016-05-27 04:26:47
Mozambique,Maputo,-25.966,32.567,2016-05-27,set,2016-05-27 15:06:52
Mozambique,Maputo,-25.966,32.567,2016-05-28,rise,2016-05-28 04:27:16
Mozambique,Maputo,-25.966,32.567,2016-05-28,set,2016-05-28 15:06:38
Mozambique,Maputo,-25.966,32.567,2016-05-29,rise,2016-05-29 04:27:45
Mozambique,Maputo,-25.966,32.567,2016-05-29,set,2016-05-29 15:06:25
Mozambique,Maputo,-25.966,32.567,2016-05-30,rise,2016-05-30 04:28:13
Mozambique,Maputo,-25.966,32.567,2016-05-30,set,2016-05-30 15:06:14
Mozambique,Maputo,-25.966,32.567,2016-05-31,rise,2016-05-31 04:28:42
Mozambique,Maputo,-25.966,32.567,2016-05-31,set,2016-05-31 15:06:04
Mozambique,Maputo,-25.966,32.567,2016-06-01,rise,2016-06-01 04:29:09
Mozambique,Maputo,-25.966,32.567,2016-06-01,set,2016-06-01 15:05:55
Mozambique,Maputo,-25.966,32.567,2016-06-02,rise,2016-06-02 04:29:37
Mozambique,Maputo,-25.966,32.567,2016-06-02,set,2016-06-02 15:05:47
Mozambique,Maputo,-25.966,32.567,2016-06-03,rise,2016-06-03 04:30:04
Mozambique,Maputo,-25.966,32.567,2016-06-03,set,2016-06-03 15:05:41
Mozambique,Maputo,-25.966,32.567,2016-06-04,rise,2016-06-04 04:30:30
Mozambique,Maputo,-25.966,32.567,2016-06-04,set,2016-06-04 15:05:35
Mozambique,Maputo,-25.966,32.567,2016-06-05,rise,2016-06-05 04:30:56
Mozambique,Maputo,-25.966,32.567,2016-06-05,set,2016-06-05 15:05:31
Mozambique,Maputo,-25.966,32.567,2016-06-06,rise,2016-06-06 04:31:21
Mozambique,Maputo,-25.966,32.567,2016-06-06,set,2016-06-06 15:05:29
Mozambique,Maputo,-25.966,32.567,2016-06-07,rise,2016-06-07 04:31:46
Mozambique,Maputo,-25.966,32.567,2016-06-07,set,2016-06-07 15:05:27
Mozambique,Maputo,-25.966,32.567,2016-06-08,rise,2016-06-08 04:32:10
Mozambique,Maputo,-25.966,32.567,2016-06-08,set,2016-06-08 15:05:26
Mozambique,Maputo,-25.966,32.567,2016-06-09,rise,2016-06-09 04:32:33
Mozambique,Maputo,-25.966,32.567,2016-06-09,set,2016-06-09 15:05:27
