Country,City,latitude,Longitude,Date,Type,UTCTime
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-04,rise,2016-02-04 10:44:13
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-04,set,2016-02-04 22:08:03
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-05,rise,2016-02-05 10:43:54
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-05,set,2016-02-05 22:08:34
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-06,rise,2016-02-06 10:43:33
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-06,set,2016-02-06 22:09:04
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-07,rise,2016-02-07 10:43:11
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-07,set,2016-02-07 22:09:33
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-08,rise,2016-02-08 10:42:49
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-08,set,2016-02-08 22:10:02
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-09,rise,2016-02-09 10:42:25
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-09,set,2016-02-09 22:10:31
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-10,rise,2016-02-10 10:42:00
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-10,set,2016-02-10 22:10:59
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-11,rise,2016-02-11 10:41:34
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-11,set,2016-02-11 22:11:26
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-12,rise,2016-02-12 10:41:07
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-12,set,2016-02-12 22:11:53
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-13,rise,2016-02-13 10:40:39
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-13,set,2016-02-13 22:12:19
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-14,rise,2016-02-14 10:40:10
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-14,set,2016-02-14 22:12:45
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-15,rise,2016-02-15 10:39:40
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-15,set,2016-02-15 22:13:10
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-16,rise,2016-02-16 10:39:09
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-16,set,2016-02-16 22:13:35
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-17,rise,2016-02-17 10:38:37
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-17,set,2016-02-17 22:13:59
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-18,rise,2016-02-18 10:38:04
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-18,set,2016-02-18 22:14:23
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-19,rise,2016-02-19 10:37:31
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-19,set,2016-02-19 22:14:46
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-20,rise,2016-02-20 10:36:56
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-20,set,2016-02-20 22:15:09
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-21,rise,2016-02-21 10:36:21
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-21,set,2016-02-21 22:15:31
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-22,rise,2016-02-22 10:35:45
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-22,set,2016-02-22 22:15:53
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-23,rise,2016-02-23 10:35:08
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-23,set,2016-02-23 22:16:14
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-24,rise,2016-02-24 10:34:30
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-24,set,2016-02-24 22:16:34
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-25,rise,2016-02-25 10:33:51
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-25,set,2016-02-25 22:16:55
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-26,rise,2016-02-26 10:33:12
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-26,set,2016-02-26 22:17:14
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-27,rise,2016-02-27 10:32:33
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-27,set,2016-02-27 22:17:34
